名称,级别,持续时间,补充说明
KubeAPIErrorBudgetBurn,critical,2m,高时延+返回码5xx的请求占比在最近1小时内和5分钟内都大于14.4%时
KubeAPIErrorBudgetBurn,critical,15m,高时延+返回码5xx的请求占比在最近6小时内和30分钟内都大于6%时
KubeAPIErrorBudgetBurn,warning,1h,高时延+返回码5xx的请求占比在最近1天内和2小时内都大于3%时
KubeAPIErrorBudgetBurn,warning,3h,高时延+返回码5xx的请求占比在最近3天内和6小时内都大于1%时
KubeClientCertificateExpiration,warning,,距离证书过期少于7天时
KubeClientCertificateExpiration,critical,,距离证书过期少于24小时
KubePersistentVolumeFillingUp,critical,1m,存储剩余少于3%时
KubePersistentVolumeFillingUp,warning,1h,存储剩余少于15%并且预计未来4天将用尽时
NodeFilesystemSpaceFillingUp,warning,1h,预计未来24小时将用尽时
NodeFilesystemSpaceFillingUp,critical,1h,预计未来4小时将用尽时
NodeFilesystemAlmostOutOfSpace,warning,1h,存储少于5%
NodeFilesystemAlmostOutOfSpace,critical,1h,存储少于3%
NodeFilesystemFilesFillingUp,warning,1h,预计未来24小时将用尽时
NodeFilesystemFilesFillingUp,critical,1h,预计未来4小时将用尽时
NodeFilesystemAlmostOutOfFiles,warning,1h,inodes少于5%
NodeFilesystemAlmostOutOfFiles,critical,1h,inodes少于3%
etcdHighNumberOfFailedGRPCRequests,warning,10m,失败请求占比超过1%
etcdHighNumberOfFailedGRPCRequests,critical,5m,失败请求占比超过5%
etcdHighNumberOfFailedHTTPRequests,warning,10m,失败请求占比超过1%
etcdHighNumberOfFailedHTTPRequests,critical,10m,失败请求占比超过5%
